Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU),Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total,TIME,FREQUENCY (Hz),DEMAND MET (MW),NUCLEAR (MW),WIND (MW),SOLAR (MW),HYDRO (MW),GAS (MW),THERMAL (MW),OTHERS (MW),NET DEMAND MET (MW),TOTAL GENERATION (MW),"NET TRANSNATIONAL EXCHANGE (MW) (+ve) Import, (-ve) Export"
3/6/2025,Regional Summary,Share of RES in total generation (%),NR,19.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",NR,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Share of RES in total generation (%),WR,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",WR,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Share of RES in total generation (%),SR,17.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",SR,31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Share of RES in total generation (%),ER,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",ER,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Share of RES in total generation (%),NER,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",NER,25.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Share of RES in total generation (%),TOTAL,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",TOTAL,21.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",NR,54785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Peak Shortage (MW),NR,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Met (MU),NR,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Hydro Gen (MU),NR,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Wind Gen (MU),NR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Solar Gen (MU)*,NR,215.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Shortage (MU),NR,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",NR,60283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Time Of Maximum Demand Met,NR,09:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",WR,68695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Peak Shortage (MW),WR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Met (MU),WR,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Hydro Gen (MU),WR,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Wind Gen (MU),WR,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Solar Gen (MU)*,WR,150.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Shortage (MU),WR,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",WR,75288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Time Of Maximum Demand Met,WR,10:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",SR,52868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Peak Shortage (MW),SR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Met (MU),SR,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Hydro Gen (MU),SR,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Wind Gen (MU),SR,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Solar Gen (MU)*,SR,155.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Shortage (MU),SR,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",SR,67811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Time Of Maximum Demand Met,SR,09:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",ER,23392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Peak Shortage (MW),ER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Met (MU),ER,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Hydro Gen (MU),ER,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Wind Gen (MU),ER,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Solar Gen (MU)*,ER,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Energy Shortage (MU),ER,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
